TimeDiff,AngleDiff,RefTime,TargetTime,RefYaw,RefPitch,TargetYaw,TargetPitch,FieldID,FieldLat,FieldLng
0.001006,36.000844,2021-06-01 13:35:46.824,2021-06-01 13:35:46.825,-20.716811,-19.468595,-25.787818,1.792973,5,40.18,94.27
42791.98785,0.019124,2021-06-01 07:26:42.200,2021-06-01 19:19:54.188,-17.969671,14.661178,10.904077,-20.432299,7,24.42,13.35
38271.00002,34.945584,2021-06-01 13:13:06.832,2021-06-01 02:35:15.832,27.68601,-1.872545,-26.056313,10.202466,5,40.18,94.27
8.34226,35.774118,2021-06-01 13:35:46.832,2021-06-01 13:35:38.490,-20.719363,-19.467756,-23.469587,1.928459,5,40.18,94.27
42791.902193,0.024066,2021-06-01 07:26:42.262,2021-06-01 19:19:54.165,-17.992367,14.655952,10.914725,-20.43062,7,24.42,13.35
38504.119255,0.040874,2021-06-01 13:15:13.295,2021-06-01 02:33:29.176,-16.792079,20.51315,23.585554,-11.793278,2,40.14,89.12
38438.757388,9.147453,2021-06-01 13:14:40.840,2021-06-01 02:34:02.083,-2.648959,22.612348,11.307001,-14.232737,2,40.14,89.12
38471.958697,4.344006,2021-06-01 13:14:56.943,2021-06-01 02:33:44.985,-10.134896,21.895843,18.370476,-13.043109,2,40.14,89.12
38376.263581,17.97633,2021-06-01 13:14:05.707,2021-06-01 02:34:29.443,13.566683,21.275646,-2.216969,-14.926669,2,40.14,89.12
38352.082823,20.657556,2021-06-01 13:13:52.975,2021-06-01 02:34:40.892,18.394297,20.068901,-7.919231,-14.600628,2,40.14,89.12
38367.293403,19.127144,2021-06-01 13:14:02.705,2021-06-01 02:34:35.411,14.772036,21.011878,-5.226886,-14.800373,2,40.14,89.12
38416.194928,12.591258,2021-06-01 13:14:27.563,2021-06-01 02:34:11.368,3.764778,22.559295,6.9158,-14.684758,2,40.14,89.12
38415.255927,13.204036,2021-06-01 13:14:30.645,2021-06-01 02:34:15.389,2.283559,22.625701,4.925816,-14.817641,2,40.14,89.12
38462.913845,5.611262,2021-06-01 13:14:53.638,2021-06-01 02:33:50.724,-8.657442,22.105262,16.163316,-13.476556,2,40.14,89.12
38434.833813,9.954534,2021-06-01 13:14:37.007,2021-06-01 02:34:02.173,-0.796404,22.659603,11.265925,-14.237981,2,40.14,89.12
38444.628087,8.26501,2021-06-01 13:14:43.405,2021-06-01 02:33:58.777,-3.880336,22.552728,12.784243,-14.03132,2,40.14,89.12
38354.595543,20.412894,2021-06-01 13:13:53.051,2021-06-01 02:34:38.455,18.367878,20.07662,-6.732872,-14.698762,2,40.14,89.12
38327.598225,24.247337,2021-06-01 13:13:44.832,2021-06-01 02:34:57.234,21.088278,19.213847,-15.258682,-13.636884,2,40.14,89.12
38307.235028,31.641072,2021-06-01 13:13:44.832,2021-06-01 02:35:17.597,21.088253,19.213856,-22.564983,-12.058858,2,40.14,89.12
38442.339143,8.815029,2021-06-01 13:14:41.050,2021-06-01 02:33:58.711,-2.750342,22.608292,12.81313,-14.027133,2,40.14,89.12
38475.090283,3.829084,2021-06-01 13:14:59.114,2021-06-01 02:33:44.024,-11.083398,21.743253,18.723431,-12.968556,2,40.14,89.12
38393.194449,15.992526,2021-06-01 13:14:14.038,2021-06-01 02:34:20.843,10.021726,21.913323,2.171522,-14.927795,2,40.14,89.12
38344.613381,21.464218,2021-06-01 13:13:46.316,2021-06-01 02:34:41.702,20.620106,19.372259,-8.309079,-14.564895,2,40.14,89.12
38498.617977,0.836306,2021-06-01 13:15:11.056,2021-06-01 02:33:32.438,-15.950627,20.729143,22.609671,-12.051477,2,40.14,89.12
38477.856512,3.472003,2021-06-01 13:15:00.882,2021-06-01 02:33:43.025,-11.84238,21.61079,19.085009,-12.89068,2,40.14,89.12
38454.420309,6.881556,2021-06-01 13:14:47.918,2021-06-01 02:33:53.498,-6.019051,22.395223,15.036009,-13.676224,2,40.14,89.12
38314.983527,28.656407,2021-06-01 13:13:44.832,2021-06-01 02:35:09.848,21.088278,19.213847,-20.033363,-12.676489,2,40.14,89.12
8.34226,35.774118,2021-06-01 13:35:46.832,2021-06-01 13:35:38.490,-20.719363,-19.467756,-23.469587,1.928459,5,40.18,94.27
38451.358044,7.254857,2021-06-01 13:14:47.055,2021-06-01 02:33:55.697,-5.613392,22.430391,14.114575,-13.828565,2,40.14,89.12
38430.469805,11.030334,2021-06-01 13:14:33.556,2021-06-01 02:34:03.087,0.875603,22.658623,10.848578,-14.290176,2,40.14,89.12
38405.671307,14.616841,2021-06-01 13:14:19.956,2021-06-01 02:34:14.284,7.346356,22.262773,5.476571,-14.785343,2,40.14,89.12
38459.590508,6.215464,2021-06-01 13:14:50.235,2021-06-01 02:33:50.645,-7.099149,22.289407,16.194952,-13.470741,2,40.14,89.12
38395.699927,15.517641,2021-06-01 13:14:16.157,2021-06-01 02:34:20.457,9.076908,22.049443,2.367797,-14.922776,2,40.14,89.12
38326.97091,24.43721,2021-06-01 13:13:44.833,2021-06-01 02:34:57.862,21.088052,19.213925,-15.515745,-13.591922,2,40.14,89.12
38277.588719,34.080563,2021-06-01 13:13:12.896,2021-06-01 02:35:15.307,26.303346,-1.943841,-25.922396,10.241716,5,40.18,94.27
38312.683359,29.536947,2021-06-01 13:13:44.832,2021-06-01 02:35:12.149,21.088278,19.213847,-20.815999,-12.493641,2,40.14,89.12
38325.024793,25.051923,2021-06-01 13:13:44.832,2021-06-01 02:34:59.807,21.088266,19.213851,-16.299279,-13.450162,2,40.14,89.12
38333.179848,22.794582,2021-06-01 13:13:44.832,2021-06-01 02:34:51.652,21.088266,19.213851,-12.887836,-14.015648,2,40.14,89.12
38481.68719,2.987108,2021-06-01 13:15:02.941,2021-06-01 02:33:41.253,-12.710186,21.447908,19.714118,-12.751553,2,40.14,89.12
38320.788565,26.504663,2021-06-01 13:13:44.833,2021-06-01 02:35:04.044,21.087977,19.21395,-17.938434,-13.130566,2,40.14,89.12
38330.405572,23.459589,2021-06-01 13:13:44.833,2021-06-01 02:34:54.427,21.088052,19.213925,-14.08568,-13.832369,2,40.14,89.12
38316.655335,28.02379,2021-06-01 13:13:44.832,2021-06-01 02:35:08.177,21.088278,19.213847,-19.447679,-12.808612,2,40.14,89.12
38486.02412,2.477845,2021-06-01 13:15:03.867,2021-06-01 02:33:37.842,-13.094624,21.371816,20.880312,-12.481425,2,40.14,89.12
38290.687381,32.829055,2021-06-01 13:13:23.445,2021-06-01 02:35:12.758,23.561687,-2.076039,-25.255549,10.433931,5,40.18,94.27
38380.019224,17.494668,2021-06-01 13:14:08.240,2021-06-01 02:34:28.221,12.519139,21.485283,-1.594108,-14.940042,2,40.14,89.12
38291.40518,32.369364,2021-06-01 13:13:27.237,2021-06-01 02:35:15.832,22.462072,-2.125527,-26.056313,10.202466,5,40.18,94.27
38465.248092,5.230998,2021-06-01 13:14:53.976,2021-06-01 02:33:48.727,-8.810085,22.085206,16.950426,-13.32845,2,40.14,89.12
38425.732675,11.243983,2021-06-01 13:14:34.941,2021-06-01 02:34:09.209,0.204615,22.663985,7.965126,-14.596647,2,40.14,89.12
38419.751979,12.177833,2021-06-01 13:14:28.961,2021-06-01 02:34:09.209,3.094509,22.59339,7.965126,-14.596647,2,40.14,89.12
38330.086644,23.546536,2021-06-01 13:13:44.841,2021-06-01 02:34:54.755,21.085389,19.214838,-14.224558,-13.810052,2,40.14,89.12
38361.128278,19.753114,2021-06-01 13:13:56.539,2021-06-01 02:34:35.411,17.118391,20.427365,-5.226886,-14.800373,2,40.14,89.12
38371.297887,18.551442,2021-06-01 13:14:03.614,2021-06-01 02:34:32.316,14.411174,21.093403,-3.673413,-14.878324,2,40.14,89.12
38405.729686,14.140656,2021-06-01 13:14:21.606,2021-06-01 02:34:15.877,6.580768,22.342469,4.681546,-14.830869,2,40.14,89.12
38284.09148,33.093223,2021-06-01 13:13:19.923,2021-06-01 02:35:15.832,24.527267,-2.030897,-26.056303,10.202469,5,40.18,94.27
38384.953938,16.897281,2021-06-01 13:14:11.991,2021-06-01 02:34:27.037,10.918364,21.77113,-0.990333,-14.948833,2,40.14,89.12
38497.204104,1.488844,2021-06-01 13:15:11.056,2021-06-01 02:33:33.852,-15.950627,20.729143,22.171014,-12.163867,2,40.14,89.12
38449.796194,7.705449,2021-06-01 13:14:47.675,2021-06-01 02:33:57.878,-5.904788,22.405381,13.177132,-13.973551,2,40.14,89.12
38421.987735,11.746293,2021-06-01 13:14:30.645,2021-06-01 02:34:08.657,2.283559,22.625701,8.230694,-14.572368,2,40.14,89.12
38316.002874,28.269759,2021-06-01 13:13:44.832,2021-06-01 02:35:08.829,21.088278,19.213847,-19.677953,-12.757145,2,40.14,89.12
38336.604412,22.164793,2021-06-01 13:13:44.833,2021-06-01 02:34:48.228,21.088052,19.213925,-11.35996,-14.225537,2,40.14,89.12
38333.738002,22.67697,2021-06-01 13:13:44.834,2021-06-01 02:34:51.096,21.087701,19.214045,-12.643251,-14.051045,2,40.14,89.12
38430.528103,10.426572,2021-06-01 13:14:36.939,2021-06-01 02:34:06.410,-0.763387,22.659984,9.300992,-14.46641,2,40.14,89.12
38324.507797,25.221514,2021-06-01 13:13:44.832,2021-06-01 02:35:00.324,21.088266,19.213851,-16.504241,-13.411906,2,40.14,89.12
38388.673009,16.385681,2021-06-01 13:14:13.661,2021-06-01 02:34:24.988,10.187755,21.887954,0.056352,-14.954339,2,40.14,89.12
38309.99663,30.574107,2021-06-01 13:13:44.833,2021-06-01 02:35:14.836,21.088052,19.213925,-21.696878,-12.279193,2,40.14,89.12
38280.622981,33.620798,2021-06-01 13:13:16.042,2021-06-01 02:35:15.419,25.532247,-1.98227,-25.951075,10.233328,5,40.18,94.27
38381.924222,17.252179,2021-06-01 13:14:09.527,2021-06-01 02:34:27.603,11.976263,21.58686,-1.279074,-14.945141,2,40.14,89.12
38503.090172,0.550891,2021-06-01 13:15:13.295,2021-06-01 02:33:30.205,-16.792079,20.51315,23.28305,-11.874521,2,40.14,89.12
38362.651263,19.71151,2021-06-01 13:13:56.539,2021-06-01 02:34:33.888,17.118391,20.427365,-4.46488,-14.842015,2,40.14,89.12
38310.056095,30.551877,2021-06-01 13:13:44.834,2021-06-01 02:35:14.778,21.087688,19.214049,-21.678148,-12.283849,2,40.14,89.12
38343.359274,21.505362,2021-06-01 13:13:46.365,2021-06-01 02:34:43.006,20.604318,19.377529,-8.931787,-14.504237,2,40.14,89.12
38308.479841,31.161351,2021-06-01 13:13:44.834,2021-06-01 02:35:16.354,21.087688,19.214049,-22.178723,-12.158001,2,40.14,89.12
38370.388417,18.660566,2021-06-01 13:14:02.705,2021-06-01 02:34:32.316,14.772036,21.011878,-3.673413,-14.878324,2,40.14,89.12
38399.322398,14.952056,2021-06-01 13:14:19.780,2021-06-01 02:34:20.457,7.427422,22.253809,2.367797,-14.922776,2,40.14,89.12
38398.152901,15.18654,2021-06-01 13:14:19.780,2021-06-01 02:34:21.627,7.427422,22.253809,1.772486,-14.936661,2,40.14,89.12
38311.524041,29.983744,2021-06-01 13:13:44.832,2021-06-01 02:35:13.308,21.088216,19.213869,-21.200455,-12.401174,2,40.14,89.12
38409.398586,13.606366,2021-06-01 13:14:23.683,2021-06-01 02:34:14.284,5.607814,22.430895,5.476571,-14.785343,2,40.14,89.12
38448.628668,7.900262,2021-06-01 13:14:47.145,2021-06-01 02:33:58.517,-5.655856,22.426826,12.89854,-14.014697,2,40.14,89.12
38468.394846,4.892685,2021-06-01 13:14:56.664,2021-06-01 02:33:48.269,-10.01168,21.914618,17.128088,-13.29403,2,40.14,89.12
38319.287588,27.047235,2021-06-01 13:13:44.832,2021-06-01 02:35:05.545,21.088128,19.213899,-18.496651,-13.014588,2,40.14,89.12
38337.44798,22.046483,2021-06-01 13:13:44.833,2021-06-01 02:34:47.385,21.088052,19.213925,-10.975441,-14.274153,2,40.14,89.12
38271.179339,34.917335,2021-06-01 13:13:07.011,2021-06-01 02:35:15.832,27.64699,-1.874598,-26.056313,10.202466,5,40.18,94.27
38281.043981,33.48152,2021-06-01 13:13:16.846,2021-06-01 02:35:15.802,25.329131,-1.992232,-26.048616,10.204728,5,40.18,94.27
38313.820991,29.100401,2021-06-01 13:13:44.832,2021-06-01 02:35:11.011,21.088216,19.213869,-20.432324,-12.58418,2,40.14,89.12
38323.825242,25.665877,2021-06-01 13:13:45.274,2021-06-01 02:35:01.448,20.949955,19.261089,-16.945146,-13.32796,2,40.14,89.12
38317.985,27.52691,2021-06-01 13:13:44.832,2021-06-01 02:35:06.847,21.088278,19.213847,-18.971641,-12.913036,2,40.14,89.12
38387.051332,16.601801,2021-06-01 13:14:12.040,2021-06-01 02:34:24.988,10.897255,21.774624,0.056352,-14.954339,2,40.14,89.12
38483.708301,2.711398,2021-06-01 13:15:02.941,2021-06-01 02:33:39.232,-12.710186,21.447908,20.412217,-12.591762,2,40.14,89.12
38504.119134,0.040882,2021-06-01 13:15:13.295,2021-06-01 02:33:29.176,-16.792079,20.51315,23.585519,-11.793287,2,40.14,89.12
38490.700901,1.974717,2021-06-01 13:15:06.005,2021-06-01 02:33:35.304,-13.968198,21.189821,21.710408,-12.27944,2,40.14,89.12
38274.424504,34.416228,2021-06-01 13:13:10.256,2021-06-01 02:35:15.832,26.921422,-1.912346,-26.056313,10.202466,5,40.18,94.27
38322.967833,25.741125,2021-06-01 13:13:44.834,2021-06-01 02:35:01.866,21.087701,19.214045,-17.107301,-13.296519,2,40.14,89.12
38490.700901,1.974717,2021-06-01 13:15:06.005,2021-06-01 02:33:35.304,-13.968198,21.189821,21.710408,-12.27944,2,40.14,89.12
38497.204104,1.488844,2021-06-01 13:15:11.056,2021-06-01 02:33:33.852,-15.950627,20.729143,22.171014,-12.163867,2,40.14,89.12
38318.045148,27.504612,2021-06-01 13:13:44.832,2021-06-01 02:35:06.787,21.088266,19.213851,-18.949907,-12.917741,2,40.14,89.12
38308.090384,31.494097,2021-06-01 13:13:45.108,2021-06-01 02:35:17.017,21.002055,19.243338,-22.385723,-12.10509,2,40.14,89.12
38291.40518,32.369364,2021-06-01 13:13:27.237,2021-06-01 02:35:15.832,22.462072,-2.125527,-26.056313,10.202466,5,40.18,94.27
38457.302892,6.420449,2021-06-01 13:14:49.615,2021-06-01 02:33:52.312,-6.811235,22.31935,15.522821,-13.591797,2,40.14,89.12
38432.666896,10.074171,2021-06-01 13:14:36.939,2021-06-01 02:34:04.272,-0.763387,22.659984,10.30201,-14.355531,2,40.14,89.12
38319.287588,27.047235,2021-06-01 13:13:44.832,2021-06-01 02:35:05.545,21.088128,19.213899,-18.496651,-13.014588,2,40.14,89.12
